"Title","Player_Limit","Local_Limit","Genre","Subgenre","Release_Year","Online","Offline","Price"
"Mobile Forces","32","1","FPS","Action","2002","Yes","Yes",""
"mobile legends","6","1","Action","Action","2016","Yes","Yes",""
"Monaco: What's Yours Is Mine","4","4","Action","Stealth","2013","Yes","Yes",""
"Monday Night Combat","12","1","FPS","MOBA","2011","Yes","No",""
"Moto Racer","8","1","Racing","Arcade","1997","No","Yes",""
"Moto Racer 2","8","4","Racing","Arcade","1998","Yes","Yes",""
"MotoGP 2","32","1","Racing","Arcade","2003","Yes","Yes",""
"Mount & Blade: Warband","200","1","FPS","Medieval","2010","Yes","Yes",""
"Mount Your Friends","4","4","Sports","Alternative","2014","Yes","No",""
"Move or Die","4","4","Platformer","Arcade","2016","Yes","Yes",""
"Multi Theft Auto: San Andreas","999","1","Open world","Action","2003","Yes","Yes","Free"
"NASCAR Racing 2003 Season","42","1","Racing","Simulation","2003","Yes","Yes",""
"NASCAR Thunder 2004","16","1","Racing","Simulation","2004","Yes","Yes",""
"Natural Selection","32","1","FPS","RTS","2002","Yes","Yes","Free"
"Natural Selection 2","32","1","FPS","RTS","2012","Yes","Yes",""
"Need for Speed : Underground","4","4","Racing","Arcade","2003","Yes","Yes",""
"Need for Speed III: Hot Pursuit","8","1","Racing","Arcade","1998","No","Yes",""
"Need For Speed Underground 2","6","1","Racing","Arcade","2004","Yes","Yes",""
"Need for Speed: Hot Pursuit","8","1","Racing","Arcade","2010","Yes","No",""
"Need for Speed: Hot Pursuit 2","8","1","Racing","Arcade","2002","Yes","Yes",""
"Need for Speed: Most Wanted","4","4","Racing","Arcade","2005","Yes","Yes",""
"Need for Speed: Shift","8","1","Racing","Arcade","2009","Yes","Yes",""
"NEOTOKYO°","32","1","FPS","Action","2014","Yes","Yes","Free"
"Nerf Arena Blast","32","1","FPS","Shooter","2000","Yes","Yes","Free"
"Neverwinter Nights","4","1","RPG","RPG","2002","Yes","Yes",""
"Neverwinter Nights 2","4","1","RPG","RPG","2006","Yes","Yes",""
"Next Car Game: Wreckfest","24","1","Racing","Survival","2014","Yes","Yes",""
"No One Lives Forever 2","4","1","FPS","Action","2002","Yes","Yes",""
"Nox","32","1","Action","RPG","2000","Yes","Yes",""
"Nuclear Dawn","32","1","FPS","Action","2011","Yes","Yes",""
"One Clone Left","6","1","Action","Shooter","2016","No","Yes",""
"Open Liero X","32","1","Platformer","Action","2006","Yes","Yes","Free"
"Open Red Alert","12","1","Strategy","RTS","2007","Yes","Yes","Free"
"Open Transport Tycoon Deluxe","255","1","Strategy","Simulation","2004","Yes","Yes","Free"
"OpenArena","64","1","FPS","Action","2005","Yes","Yes","Free"
"OpenRA","16","1","Strategy","RTS","2010","Yes","Yes","Free"
"OpenSpades","32","1","FPS","Action","2015","Yes","Yes","Free"
"OpenTTD","255","1","Simulator","Business","2004","Yes","Yes","Free"
"Orbital Gear","12","4","Action","Shooter","2014","Yes","Yes",""
"ORION: Prelude","10","1","FPS","Action","2012","Yes","No",""
"osu!","16","1","Rhythm","","2007","Yes","Yes","Free"
"Outgun","32","1","Action","Shooter","2006","Yes","Yes","Free"
"Outlaws","8","1","FPS","Wild West","1997","No","Yes",""
"Outlaws + A Handful of Missions","8","1","FPS","Wild West","1997","No","Yes",""
"Overcooked","4","4","Strategy","Simulation","2016","No","Yes",""
"Overwatch","12","1","FPS","Action","2016","Yes","No",""
"Paladins: Champions of the Realm","8","1","FPS","MOBA","2016","Yes","No","Free"
"Path of Exile","6","1","RPG","Action","2013","Yes","No","Free"
"Path of Exile","6","2","RPG","Action","2013","Yes","Yes","Free"
"Pax Imperia: Eminent Domain","16","1","Strategy","RTS","1997","Yes","Yes",""
"Payday 2","4","1","FPS","Action","2013","Yes","No",""
"Pirates of the Polygon Sea","0","1","Strategy","Business","2018","Yes","Yes",""
"Pirates, Vikings and Knights","32","1","FPS","Action","2004","Yes","Yes","Free"
"Pirates, Vikings and Knights II","24","1","FPS","Action","2007","Yes","Yes","Free"
"Plain Sight","20","1","Action","Action","2010","Yes","Yes",""
"Planetary Annihilation","10","1","Strategy","RTS","2014","Yes","Yes",""
"Planetary Annihilation: TITANS","10","1","Strategy","RTS","2015","Yes","Yes",""
"Plants vs. Zombies: Garden Warfare 2","24","2","Action","Tower Defense","2016","Yes","No",""
"Port Royale","1","1","Strategy","Simulation","2002","No","Yes",""
"Port Royale","1","1","FPS","Action","2012","No","Yes",""
"Port Royale","1","1","FPS","Action","2012","No","Yes",""
"Port Royale 2","1","1","Strategy","Simulation","2004","No","No",""
"Port Royale 2","1","1","Strategy","Simulation","2014","No","Yes",""
"Port Royale 3","4","1","Strategy","Simulation","2012","Yes","Yes",""
"Portal 2","2","1","FPS","Puzzle","2011","Yes","Yes",""
"Praetorians","8","1","Strategy","RTT","2003","Yes","Yes",""
"Prison Architect","16","1","Simulator","Strategy","2015","Yes","Yes",""
"Pro Evolution Soccer 2004","8","1","Sports","Football","2004","Yes","Yes",""
"Pro Evolution Soccer 2016","8","8","Sports","Football","2015","Yes","Yes",""
"Project Reality: Battlefield 2","2","1","FPS","Tactical","2005","Yes","No","Free"
"Project Zomboid","64","4","Open world","Survival","2013","Yes","Yes",""
"PULSAR: Lost Colony","5","1","Simulator","Spaceship","2015","Yes","No",""
"Pure","16","1","Racing","Arcade","2008","Yes","Yes",""
"Quake","12","4","FPS","Action","1996","Yes","Yes",""
"Quake 2","64","1","FPS","Action","1997","Yes","Yes",""
"Quake II: Quad Damage","64","1","FPS","Action","1997","Yes","Yes",""
"Quake III Arena","16","1","FPS","Action","1999","Yes","Yes",""
"Quake III: Gold","16","1","FPS","Action","2001","Yes","Yes",""
"Quake Live","16","1","FPS","Action","2010","Yes","No",""
"Race Driver: Grid","12","1","Racing","Arcade","2008","Yes","Yes",""
"Re-Volt","12","4","Racing","Karting","1999","Yes","Yes","Free"
"Realm of the Mad God","50","1","RPG","MMO","2011","Yes","No","Free"
"Red Eclipse","999","1","FPS","Action","2011","Yes","Yes","Free"
"Red Faction","32","32","FPS","Action","2001","Don't know","Yes",""
"Red Faction: Guerrilla","16","4","FPS","Action","2009","Yes","Yes",""
"Renegade X","40","1","FPS","Strategy","2014","Yes","Yes","Free"
"Resident Evil 5","4","2","Action","Horror","2009","Yes","Yes",""
"Return to Castle Wolfenstein","120","1","FPS","Shooter","2001","Yes","Yes","Free"
"Rise of Flight","99","1","Simulator","Flight","2010","Yes","No","Free"
"Rise of Nations","8","1","Strategy","RTS","2003","Yes","Yes",""
"Rise of Nations: Extended Edition","8","1","Strategy","RTS","2014","Yes","Yes",""
"Rise of Nations: Rise of Legends","8","1","Strategy","RTS","2006","Yes","Yes",""
"Rise of the Triad 2013 (Doom edition)","16","1","FPS","Action","2013","Yes","Yes",""
"Risk II","8","8","Strategy","Turn-based","2000","Yes","Yes",""
"Risk of Rain","4","4","Platformer","Action","2013","Yes","Yes",""
"Robot Roller-Derby Disco Dodgeball","12","1","FPS","Action","2015","Yes","Yes",""
"Rocket League","8","4","Sports","","2015","Yes","Yes",""
"Rome: Total War","8","1","Strategy","RTS","2004","Yes","Yes",""
"Rune Classic","32","1","Action","Combat","2000","Yes","Yes",""
"RUNNING WITH RIFLES","200","1","Action","Shooter","2015","Yes","Yes",""
"Rust","500","1","FPS","Survival","2013","Yes","Yes",""
"Sacred 2 Fallen Angel","16","1","RPG","Medieval","2008","Yes","Yes","Free"
"Sacred 2 Gold","8","1","RPG","Action","2012","Yes","Yes",""
"Sacred Citadel","3","3","Action","Arcade","2013","Yes","Yes",""
"Sacrifice","4","1","Strategy","RTS","2000","Yes","Yes",""
"Saints Row IV","2","2","Open world","Action","2013","Yes","Yes",""
"Saints Row: The Third","2","1","Open world","Action","2011","Yes","Yes",""
"Salt and Sanctuary","2","2","RPG","Action","2016","No","No",""
"Samurai Gunn","4","4","Platformer","Action","2013","No","No",""
"Sanctum 2","4","1","FPS","Tower Defense","2013","Yes","No",""
"Savage XR","64","1","FPS","RTS","2003","Yes","Yes","Free"
"Screencheat","8","8","FPS","Shooter","2015","Yes","Yes",""
"Serious Sam 3: BFE","16","1","FPS","Action","2011","Yes","No",""
"Serious Sam: The First Encounter","16","1","FPS","Action","2001","No","Yes",""
"Shaun White Snowboarding","2","2","Sports","Simulation","2008","Yes","Yes",""
"ShootMania Storm","250","1","FPS","Action","2013","Yes","Yes",""
"Sid Meier's Alpha Centauri","7","7","Strategy","Turn-based","1999","Yes","Yes",""
"Sid Meier's Alpha Centauri Planetary Pack","7","7","Strategy","Turn-based","1999","Yes","Yes",""
"Sid Meier's Civilization II Gold","8","8","Strategy","Turn-based","1996","Yes","Yes",""
"Sid Meier's Civilization III","8","8","Strategy","Turn-based","2001","Yes","Yes",""
"Sid Meier's Civilization IV","16","16","Strategy","Turn-based","2005","Yes","Yes",""
"Sid Meier's Civilization V","12","12","Strategy","Turn-based","2010","Yes","Yes",""
"Sid Meier's Civilization VI","20","20","Strategy","Turn-based","2016","Yes","Yes",""
"Sins of a Solar Empire","10","1","Strategy","RTS","2012","Yes","Yes",""
"Sins of a Solar Empire: Rebellion","10","1","Strategy","RTS","2012","Yes","Yes",""
"Smite","10","1","Strategy","MOBA","2014","Yes","No","Free"
"Smokin' Guns","16","1","FPS","Wild West","2009","Yes","Yes","Free"
"Smokin' Guns","16","1","FPS","Wild West","2012","Yes","Yes","Free"
"Sniper Ghost Warior 2","8","1","FPS","Shooter","2013","Yes","Yes",""
"Soldat","32","1","Platformer","Action","2002","Yes","Yes","Free"
"Sonic & All-Stars Racing Transformed","10","4","Racing","Karting","2013","Yes","No",""
"South Park Rally","8","1","Racing","Karting","2000","Yes","Yes","Free"
"Space Engineers","16","1","Open world","Sandbox","2013","Yes","No",""
"Speedrunners","4","4","Platformer","Runner","2013","Yes","Yes",""
"Speedrunners Party Mode","4","4","Platformer","Runner","2014","No","No","Free"
"Split/Second","8","2","Racing","Arcade","2010","No","Yes",""
"Split/Second","8","2","Racing","Arcade","2010","Yes","Yes",""
"Sportsfriends","4","4","Sports","Minigames","2014","No","No",""
"Star Wars Battlefront","64","1","Action","Shooter","2004","Yes","Yes",""
"Star Wars Battlefront","40","1","FPS","Action","2015","Yes","No",""
"Star Wars Jedi Knight II: Jedi Outcast","32","1","FPS","Action","2002","Yes","Yes",""
"Star Wars Jedi Knight: Jedi Academy","32","1","FPS","Action","2003","Yes","Yes",""
"Star Wars: Battlefront II","64","4","FPS","Action","2005","Yes","Yes",""
"Star Wars: Empire at War","8","1","Strategy","RTS","2006","No","Yes",""
"Star Wars: Empire at War: Forces of Corruption","8","1","Strategy","RTS","2006","No","Yes",""
"Starbound","999","1","Platformer","Survival","2013","Yes","No",""
"StarCraft","8","1","Strategy","RTS","1998","Yes","Yes",""
"Starcraft","16","4","Strategy","RTS","1998","Yes","Yes","Free"
"StarCraft II: Heart of the Swarm","8","1","Strategy","RTS","2013","Yes","No",""
"StarCraft II: Legacy of the Void","8","1","Strategy","RTS","2015","Yes","No",""
"StarCraft II: Starter Edition","8","1","Strategy","RTS","2013","Yes","No","Free"
"StarCraft II: Wings of Liberty","8","1","Strategy","RTS","2010","Yes","No",""
"StarCraft: Brood War","8","1","Strategy","RTS","1998","Yes","Yes",""
"Stardew Valley","4","1","Simulator","RPG","2016","Yes","Yes",""
"Starlancer","16","1","Simulator","Combat","2000","Yes","Yes",""
"Startopia","4","1","Simulator","Business","2001","Yes","Yes",""
"Staxel","16","4","Open world","Simulation","2018","Yes","Yes",""
"Steel Storm","8","1","FPS","Action","2010","Yes","Yes",""
"Stellaris","32","1","Strategy","4X","2016","Yes","No",""
"Stikbold! A Dodgeball Adventure","4","4","Action","Minigames","2016","No","Yes",""
"Strike Vector","32","1","FPS","Spaceship","2014","Yes","No",""
"Stronghold","8","1","Strategy","RTS","2001","No","Yes",""
"Stronghold Crusader","8","1","Strategy","RTS","2002","Yes","Yes",""
"Summoning Wars","8","1","RPG","Action","2010","Yes","Yes","Free"
"Supraball","10","1","FPS","Sports","2014","Yes","Yes",""
"Supreme Commander","8","1","Strategy","RTS","2007","Yes","Yes",""
"Supreme Commander: Forged Alliance","8","1","Strategy","RTS","2007","Yes","Yes",""
"Sven Co-op","32","1","FPS","Action","1999","Yes","Yes","Free"
"SWAT 4","10","1","FPS","Tactical","2005","Yes","Yes",""
"SWAT 4: Gold Edition","10","1","FPS","Tactical","2006","No","Yes",""
"SWAT 4: The Stetchkov Syndicate","10","1","FPS","Tactical","2006","Yes","Yes",""
"Synergy","24","1","FPS","Action","2005","Yes","Yes","Free"
"System Shock 2","4","1","FPS","RPG","1999","No","Yes",""
"Tabletop Simulator","8","8","Board game","Board game","2014","Yes","No",""
"Team Fortress 2","32","1","FPS","Action","2007","Yes","Yes","Free"
"Team Fortress Classic","32","1","FPS","Action","1999","Yes","Yes",""
"Teeworlds","16","1","Platformer","Action","2007","Yes","Yes","Free"
"Terraria","255","1","Platformer","Sandbox","2011","Yes","Yes",""
"Tesseract","999","1","FPS","Action","2014","Yes","Yes","Free"
"Tetrinet","6","1","Puzzle","Tile-matching","1997","Yes","Yes","Free"
"The Battle for Wesnoth","100","1","Strategy","RPG","2003","Yes","Yes","Free"
"The Forest","8","1","Open world","Survival","2014","Yes","Yes",""
"The Guild 2","12","1","Simulator","Medieval","2006","Yes","Yes",""
"The Hidden: Source","9","1","FPS","Stealth","2005","Yes","Yes","Free"
"The Lord of the Rings: The Battle for Middle-earth II","8","1","Strategy","RTS","2006","No","Yes",""
"The Mean Greens - Plastic Warfare","10","1","FPS","Action","2015","Yes","No",""
"The Red Solstice","8","1","Action","Shooter","2015","Yes","No",""
"The Settlers 2","4","1","Strategy","RTS","1996","No","No",""
"The Ship: Murder Party","32","1","FPS","Stealth","2006","Yes","Yes",""
"Titan Quest","6","1","RPG","Action","2006","Yes","Yes",""
"Titanfall","12","1","FPS","Action","2014","Yes","No",""
"Tom Clancy's H.A.W.X","8","1","Action","Flight","2009","Yes","Yes",""
"Tom Clancy's Rainbow Six 3: Raven Shield","16","1","FPS","Tactical","2003","Yes","Yes",""
"Tom Clancy's Rainbow Six Siege","10","1","FPS","Tactical","2015","Yes","No",""
"Tom Clancy's Rainbow Six Siege","10","1","FPS","Tactical","2015","Yes","Yes",""
"Tom Clancy's Rainbow Six: Rogue Spear","16","1","FPS","Tactical","1999","Yes","Yes",""
"Tom Clancy's Rainbow Six: Vegas","16","1","FPS","Tactical","2006","Yes","Yes",""
"Tom Clancy's Rainbow Six: Vegas 2","16","1","FPS","Tactical","2008","Yes","Yes",""
"Tom Clancy's The Division","4","1","Other","RPG","2016","Yes","No",""
"Tom Clancy`s Ghost Recon - Advanced Warfighter 2","16","4","FPS","Shooter","2007","Yes","Yes","Free"
"Torchlight 2","6","1","RPG","Action","2012","Yes","Yes",""
"Total Annihilation: Commander Pack","10","1","Strategy","RTS","1997","Yes","Yes",""
"Total War: Rome II","8","1","Strategy","RTS","2013","Yes","No",""
"TowerFall Ascension","4","4","Action","Shooter","2014","No","No",""
"Trackmania Nations Forever","50","1","Racing","Arcade","2008","Yes","Yes","Free"
"Trackmania Turbo","100","4","Racing","Arcade","2016","Yes","No",""
"Tremulous","24","1","FPS","RTS","2006","Yes","Yes","Free"
"Tribes 2","128","1","FPS","Action","2001","Yes","Yes","Free"
"Tribes: Ascend","32","1","FPS","Action","2012","Yes","No","Free"
"Trine 2: Complete Story","3","3","Platformer","Puzzle","2013","Yes","No",""
"TRON 2.0","16","1","FPS","Action","2003","Yes","Yes",""
"UFO2000","2","1","Strategy","Turn-based","2004","Yes","Yes","Free"
"Unreal","16","4","FPS","Shooter","1998","Yes","Yes","Free"
"Unreal Tournament","32","1","FPS","Action","1999","Yes","Yes",""
"Unreal Tournament","64","1","FPS","Action","2015","Yes","Yes","Free"
"Unreal Tournament 2004","32","1","FPS","Action","2004","Yes","Yes",""
"Unreal Tournament 3","64","1","FPS","Action","2007","Yes","Yes",""
"Unturned","12","1","FPS","Survival","2014","Yes","No","Free"
"Urban Terror","32","1","FPS","Action","2007","Yes","Yes","Free"
"Vampire: The Masquerade – Redemption","4","1","RPG","Action","2000","No","Yes",""
"Viper Racing","8","1","Racing","Simulation","1998","No","Yes",""
"Viscera Cleanup Detail","32","2","FPS","Sandbox","2015","Yes","Yes",""
"Viscera Cleanup Detail: Santa's Rampage","32","2","FPS","Sandbox","2013","Yes","Yes",""
"Viscera Cleanup Detail: Shadow Warrior","32","2","FPS","Sandbox","2013","Yes","Yes",""
"War of the Roses","64","1","FPS","Medieval","2012","Yes","No","Free"
"Warcraft II: Battle.net Edition","8","1","Strategy","RTS","1999","Yes","Yes",""
"Warcraft II: Tides of Darkness","8","1","Strategy","RTS","1997","Yes","Yes",""
"Warcraft III: Reign of Chaos","12","1","Strategy","RTS","2002","Yes","Yes",""
"Warcraft III: The Frozen Throne","12","1","Strategy","RTS","2003","Yes","Yes",""
"Warcraft: Orcs and Humans","2","1","Strategy","RTS","1994","No","Yes",""
"Warface","32","2","FPS","Shooter","2013","Yes","Yes","Free"
"Warhammer 40,000: Dawn of War","8","1","Strategy","RTS","2004","Yes","No",""
"Warhammer 40,000: Dawn of War - Dark Crusade","8","1","Strategy","RTS","2006","Yes","No",""
"Warhammer 40,000: Dawn of War - Soulstorm","8","1","Strategy","RTS","2008","Yes","Yes",""
"Warhammer 40,000: Dawn of War - Winter Assault","8","1","Strategy","RTS","2005","Yes","No",""
"Warhammer 40,000: Dawn of War II","8","1","Strategy","RTS","2009","Yes","No",""
"Warhammer: End Times - Vermintide","4","1","FPS","Action","2015","Yes","No",""
"Warshift","6","1","Action","RTS","2016","Yes","Yes",""
"Warsow","32","1","FPS","Action","2012","Yes","Yes","Free"
"Warzone 2100","10","1","Strategy","RTS","1999","Yes","Yes","Free"
"Widelands","8","1","Strategy","RTS","2006","Yes","Yes","Free"
"Windward","100","1","Simulator","Tactical","2011","Yes","Yes",""
"Witch it","16","1","Other","Alternative","2017","Yes","Yes",""
"Wolfenstein: Enemy Territory","32","1","FPS","Action","2003","Yes","Yes","Free"
"World In Conflict","12","1","Strategy","RTS","2007","Yes","Yes",""
"World In Conflict Complete Edition","12","1","Strategy","RTS","2009","Yes","Yes",""
"World in Conflict: Soviet Assault","12","1","Strategy","RTS","2009","Yes","Yes",""
"World of Tanks","30","1","Simulator","Tank","2010","Yes","No","Free"
"Worms Armageddon","6","6","Strategy","Turn-based","1999","Yes","Yes",""
"Wreckfest","24","1","Racing","Alternative","2018","Yes","Yes",""
"XCOM 2","2","1","Strategy","Turn-based","2016","Yes","No",""
"XCOM: Enemy Unknown","2","1","Strategy","Turn-based","2012","Yes","No",""
"Xonotic","255","1","FPS","Action","2011","Yes","Yes","Free"
"YSFlight","17","1","Simulator","Flight","1999","Yes","Yes","Free"
"Yu-Gi-Oh Joey The Passion","1","2","Other","Board game","2004","No","Yes","Free"
"Zero Gear","8","1","Racing","Karting","2010","Yes","Yes",""
"Zero-K","32","1","Strategy","RTS","2018","Yes","Yes","Free"
"Zombie Panic! Source","32","1","FPS","Action","2007","Yes","Yes","Free"
"Zombies Monsters Robots","16","1","Action","Shooter","2014","Yes","No","Free"
